"player_name","pitcher","game_year","N","unpredictability","indistinguishability","unexpectedness","deception"
"Tyler Rogers","643511",2020,334,57.1863599905347,90.9921724828978,100,100
"Chaz Roe","475054",2019,633,75.0361642723819,66.0464316884872,87.7061285834058,96.0904387563861
"Daniel Zamora","623354",2019,117,67.3257691086698,90.744097907847,69.7917048526407,84.5172446857036
"Phil Maton","664208",2019,444,63.5652314843534,57.1797162223752,78.9298422177357,81.230196321969
"Seth Elledge","676220",2020,179,84.4690054120086,73.2904173179532,56.3234195209945,81.0532065324363
"Daniel Zamora","623354",2018,123,59.1315520586186,86.7811173184628,71.441122165372,80.0248740428906
"Paul Fry","643316",2019,820,71.3929764077163,89.8081300403121,60.3443848306349,80.003251085031
"T.J. McFarland","519008",2018,776,74.0646722305453,86.6884338619117,58.504726828219,79.5565416318106
"Dillon Maples","596027",2018,113,64.9745511828802,98.5961505817679,61.9819703612609,79.4036386791604
"Cam Bedrosian","592135",2018,761,82.5575703049058,74.4467913975774,54.1911890501011,78.6967056489754
"Colin Poche","621363",2019,662,93.1126836419963,80.1605715910691,42.7427804391332,78.0389931686313
"Carl Edwards Jr.","605218",2018,725,78.7223651956817,67.9755527090794,58.2446352590379,77.8719032146917
"James Pazos","572021",2018,591,84.8294650838199,88.6826372711073,46.493504516339,77.7867381154656
"Cam Bedrosian","592135",2019,758,89.9960965073956,77.9523250584553,45.5706932771004,77.7260071104762
"James Karinchak","675916",2020,359,86.9876878932396,70.6065305492301,48.8597686321641,76.6457195093413
"Brent Suter","608718",2019,168,72.6914800764466,74.8353350274064,58.9291445284157,76.3911299183156
"David McKay","641853",2019,391,70.421478505118,77.1392984229678,60.0640042176225,76.3904297851443
"Cy Sneed","605482",2020,255,70.3499173053951,71.2064378598904,61.8285247081564,76.2597005761448
"Jared Hughes","453172",2018,836,76.3131495939154,72.5452158622289,55.9112474906891,75.8517853929346
"Elieser Hernandez","622694",2020,345,83.8467278859438,80.5885538394242,46.8220221004815,75.6263135933177
